Time,S&P500
9/14/19,3007.39
9/15/19,3007.39
9/16/19,2997.96
9/17/19,3005.7
9/18/19,3006.73
9/19/19,3006.79
9/20/19,2992.07
9/21/19,2992.07
9/22/19,2992.07
9/23/19,2991.78
9/24/19,2966.6
9/25/19,2984.87
9/26/19,2977.62
9/27/19,2961.79
9/28/19,2961.79
9/29/19,2961.79
9/30/19,2976.74
10/1/19,2940.25
10/2/19,2887.61
10/3/19,2910.63
10/4/19,2952.01
10/5/19,2952.01
10/6/19,2952.01
10/7/19,2938.79
10/8/19,2893.06
10/9/19,2919.4
10/10/19,2938.13
10/11/19,2970.27
10/12/19,2970.27
10/13/19,2970.27
10/14/19,2966.15
10/15/19,2995.68
10/16/19,2989.69
10/17/19,2997.95
10/18/19,2986.2
10/19/19,2986.2
10/20/19,2986.2
10/21/19,3006.72
10/22/19,2995.99
10/23/19,3004.52
10/24/19,3010.29
10/25/19,3022.55
10/26/19,3022.55
10/27/19,3022.55
10/28/19,3039.42
10/29/19,3036.89
10/30/19,3046.77
10/31/19,3037.56
11/1/19,3066.91
11/2/19,3066.91
11/3/19,3066.91
11/4/19,3078.27
11/5/19,3074.62
11/6/19,3076.78
11/7/19,3085.18
11/8/19,3093.08
11/9/19,3093.08
11/10/19,3093.08
11/11/19,3087.01
11/12/19,3091.84
11/13/19,3094.04
11/14/19,3096.63
11/15/19,3120.46
11/16/19,3120.46
11/17/19,3120.46
11/18/19,3122.03
11/19/19,3120.18
11/20/19,3108.46
11/21/19,3103.54
11/22/19,3110.29
11/23/19,3110.29
11/24/19,3110.29
11/25/19,3133.64
11/26/19,3140.52
11/27/19,3153.63
11/28/19,3153.63
11/29/19,3140.98
11/30/19,3153.63
12/1/19,3153.63
12/2/19,3113.87
12/3/19,3093.2
12/4/19,3112.76
12/5/19,3117.43
12/6/19,3145.91
12/7/19,3145.91
12/8/19,3145.91
12/9/19,3135.96
12/10/19,3132.52
12/11/19,3141.63
12/12/19,3168.57
12/13/19,3168.8
12/14/19,3168.8
12/15/19,3168.8
12/16/19,3191.45
12/17/19,3192.52
12/18/19,3191.14
12/19/19,3205.37
12/20/19,3221.22
12/21/19,3221.22
12/22/19,3221.22
12/23/19,3224.01
12/24/19,3223.38
12/25/19,3223.38
12/26/19,3239.91
12/27/19,3240.02
12/28/19,3240.02
12/29/19,3240.02
12/30/19,3221.29
12/31/19,3230.78
1/1/20,3230.78
1/2/20,3257.85
1/3/20,3234.85
1/4/20,3234.85
1/5/20,3234.85
1/6/20,3246.28
1/7/20,3237.18
1/8/20,3253.05
1/9/20,3274.7
1/10/20,3265.35
1/11/20,3265.35
1/12/20,3265.35
1/13/20,3288.13
1/14/20,3283.15
1/15/20,3289.29
1/16/20,3316.81
1/17/20,3329.62
1/18/20,3329.62
1/19/20,3329.62
1/20/20,3329.62
1/21/20,3320.79
1/22/20,3321.75
1/23/20,3325.54
1/24/20,3295.47
1/25/20,3295.47
1/26/20,3295.47
1/27/20,3243.63
1/28/20,3276.24
1/29/20,3273.4
1/30/20,3283.66
1/31/20,3225.52
2/1/20,3225.52
2/2/20,3225.52
2/3/20,3248.92
2/4/20,3297.59
2/5/20,3334.69
2/6/20,3345.78
2/7/20,3327.71
2/8/20,3327.71
2/9/20,3327.71
2/10/20,3352.09
2/11/20,3357.75
2/12/20,3379.45
2/13/20,3373.94
2/14/20,3380.16
2/15/20,3380.16
2/16/20,3380.16
2/17/20,3380.16
2/18/20,3370.29
2/19/20,3386.15
2/20/20,3373.23
2/21/20,3337.75
2/22/20,3337.75
2/23/20,3337.75
2/24/20,3225.89
2/25/20,3128.21
2/26/20,3116.39
2/27/20,2978.76
2/28/20,2954.22
2/29/20,2954.22
3/1/20,2954.22
3/2/20,3090.23
3/3/20,3003.37
3/4/20,3130.12
3/5/20,3023.94
3/6/20,2972.37
3/7/20,2972.37
3/8/20,2972.37
3/9/20,2746.56
3/10/20,2882.23
3/11/20,2741.38
3/12/20,2480.64
3/13/20,2711.02
3/14/20,2711.02
3/15/20,2711.02
3/16/20,2529.19
3/17/20,2398.1
3/18/20,2409.39
3/19/20,2304.92
3/20/20,2304.92
3/21/20,2304.92
3/22/20,2304.92
3/23/20,2237.4
3/24/20,2447.33
3/25/20,2475.56
3/26/20,2630.07
3/27/20,2541.47
3/28/20,2541.47
3/29/20,2541.47
3/30/20,2626.65
3/31/20,2584.59
4/1/20,2470.5
4/2/20,2526.9
4/3/20,2488.65
4/4/20,2488.65
4/5/20,2488.65
4/6/20,2663.68
4/7/20,2659.41
4/8/20,2749.98
4/9/20,2789.82
4/10/20,2789.82
4/11/20,2789.82
4/12/20,2789.82
4/13/20,2761.63
4/14/20,2846.06
4/15/20,2783.36
4/16/20,2799.55
4/17/20,2874.56
4/18/20,2874.56
4/19/20,2874.56
4/20/20,2823.16
4/21/20,2736.56
4/22/20,2799.31
4/23/20,2797.8
4/24/20,2836.74
4/25/20,2836.74
4/26/20,2836.74
4/27/20,2878.48
4/28/20,2863.39
4/29/20,2939.51
4/30/20,2912.43
5/1/20,2830.71
5/2/20,2830.71
5/3/20,2830.71
5/4/20,2842.74
5/5/20,2868.44
5/6/20,2848.42
5/7/20,2881.19
5/8/20,2929.8
5/9/20,2929.8
5/10/20,2929.8
5/11/20,2930.32
5/12/20,2870.12
5/13/20,2820
5/14/20,2852.5
5/15/20,2863.7
5/16/20,2863.7
5/17/20,2863.7
5/18/20,2953.91
5/19/20,2922.94
5/20/20,2971.61
5/21/20,2948.51
5/22/20,2955.45
5/23/20,2955.45
5/24/20,2955.45
5/25/20,2955.45
5/26/20,2991.77
5/27/20,3036.13
5/28/20,3029.73
5/29/20,3044.31
5/30/20,3044.31
5/31/20,3044.31
6/1/20,3055.73
6/2/20,3080.82
6/3/20,3122.87
6/4/20,3112.35
6/5/20,3193.93
6/6/20,3193.93
6/7/20,3193.93
6/8/20,3232.39
6/9/20,3207.18
6/10/20,3190.14
6/11/20,3002.1
6/12/20,3041.31
6/13/20,3041.31
6/14/20,3041.31
6/15/20,3066.59
6/16/20,3124.74
6/17/20,3113.49
6/18/20,3115.34
6/19/20,3097.74
6/20/20,3097.74
6/21/20,3097.74
6/22/20,3117.86
6/23/20,3131.29
6/24/20,3050.33
6/25/20,3083.76
6/26/20,3009.05
6/27/20,3009.05
6/28/20,3009.05
6/29/20,3053.24
6/30/20,3100.29
7/1/20,3115.86
7/2/20,3130.01
7/3/20,3130.01
7/4/20,3130.01
7/5/20,3179.72
7/6/20,3145.32
7/7/20,3169.94
7/8/20,3152.05
7/9/20,3185.04
7/10/20,3185.04
7/11/20,3185.04
7/12/20,3185.04
