Time,Pearson: DOGE-ETH / PriceUSD,,,
2015-10-07,0.139452237213122,,,
2015-10-08,0.140729981538209,,,
2015-10-09,0.141084480468189,,,
2015-10-10,0.160643476162163,,,
2015-10-11,0.187600428483558,,,
2015-10-12,0.264337202721183,,,
2015-10-13,0.264860510129905,,,
2015-10-14,0.251295489332496,,,
2015-10-15,0.229405256708969,,,
2015-10-16,0.240869660108563,,,
2015-10-17,0.144071152803995,,,
2015-10-18,0.102170786601852,,,
2015-10-19,-0.002351546265111,,,
2015-10-20,0.0105757396710759,,,
2015-10-21,0.0129810688427412,,,
2015-10-22,0.0858688719851242,,,
2015-10-23,0.0304393186038871,,,
2015-10-24,0.0283832297606971,,,
2015-10-25,0.034709205697777,,,
2015-10-26,0.0491120703049996,,,
2015-10-27,0.0520088401105617,,,
2015-10-28,0.111134877544872,,,
2015-10-29,0.211397086903366,,,
2015-10-30,0.173579782652818,,,
2015-10-31,0.225490558506081,,,
2015-11-01,0.227276541614468,,,
2015-11-02,0.209938227402148,,,
2015-11-03,0.21739582322765,,,
2015-11-04,0.269036020560447,,,
2015-11-05,0.280392800388258,,,
2015-11-06,0.266159019761108,,,
2015-11-07,0.272238820032801,,,
2015-11-08,0.275000507171753,,,
2015-11-09,0.273894865883351,,,
2015-11-10,0.312484432363081,,,
2015-11-11,0.299769202967654,,,
2015-11-12,0.296953037423085,,,
2015-11-13,0.298855524252501,,,
2015-11-14,0.301375033753257,,,
2015-11-15,0.296379808832067,,,
2015-11-16,0.303851598486237,,,
2015-11-17,0.310839911738853,,,
2015-11-18,0.31092637593587,,,
2015-11-19,0.313821009173967,,,
2015-11-20,0.314860100827397,,,
2015-11-21,0.308523626437494,,,
2015-11-22,0.336379068669447,,,
2015-11-23,0.350688265792022,,,
2015-11-24,0.352122260812086,,,
2015-11-25,0.354988342860692,,,
2015-11-26,0.342435409167908,,,
2015-11-27,0.371854731685081,,,
2015-11-28,0.396763797679389,,,
2015-11-29,0.393006461029886,,,
2015-11-30,0.396128363962814,,,
2015-12-01,0.397173019614964,,,
2015-12-02,0.389162761438985,,,
2015-12-03,0.387789116927536,,,
2015-12-04,0.388374456579201,,,
2015-12-05,0.386423027059201,,,
2015-12-06,0.386099228381717,,,
2015-12-07,0.385973648788407,,,
2015-12-08,0.382736510661547,,,
2015-12-09,0.379241585240881,,,
2015-12-10,0.390505182321622,,,
2015-12-11,0.405836727753647,,,
2015-12-12,0.373385704875703,,,
2015-12-13,0.395311946062399,,,
2015-12-14,0.417924472075916,,,
2015-12-15,0.420930694504302,,,
2015-12-16,0.426820357823161,,,
2015-12-17,0.428194416594416,,,
2015-12-18,0.421066631491419,,,
2015-12-19,0.428147305146225,,,
2015-12-20,0.396104644830744,,,
2015-12-21,0.388275234234014,,,
2015-12-22,0.402140587722734,,,
2015-12-23,0.391897964340443,,,
2015-12-24,0.405756978871987,,,
2015-12-25,0.404628923193853,,,
2015-12-26,0.414166828631491,,,
2015-12-27,0.390791728209438,,,
2015-12-28,0.325802169649409,,,
2015-12-29,0.362484393155424,,,
2015-12-30,0.316014986025738,,,
2015-12-31,0.317727612244691,,,
2016-01-01,0.322898916595506,,,
2016-01-02,0.313832355969134,,,
2016-01-03,0.219535643119577,,,
2016-01-04,0.20033092369686,,,
2016-01-05,0.220178637770736,,,
2016-01-06,0.198623330299011,,,
2016-01-07,0.183833276668178,,,
2016-01-08,0.213235972520735,,,
2016-01-09,0.0759853383169209,,,
2016-01-10,0.1060900679718,,,
2016-01-11,0.0771454734329646,,,
2016-01-12,0.0960575732535863,,,
2016-01-13,0.0896855131115841,,,
2016-01-14,0.0869636746661657,,,
2016-01-15,-0.0595657643342821,,,
2016-01-16,-0.11480928963663,,,
2016-01-17,-0.1399808502021,,,
2016-01-18,-0.166493728520022,,,
2016-01-19,-0.150264746755564,,,
2016-01-20,-0.0666707784703513,,,
2016-01-21,-0.0687352217155292,,,
2016-01-22,-0.0712200715526572,,,
2016-01-23,-0.00574364314019464,,,
2016-01-24,0.0152744731841529,,,
2016-01-25,0.111270401829777,,,
2016-01-26,-0.0650966628788219,,,
2016-01-27,-0.0671399079682832,,,
2016-01-28,-0.0906670578726551,,,
2016-01-29,-0.0817518526085137,,,
2016-01-30,-0.0655379958230065,,,
2016-01-31,-0.0711545236555454,,,
2016-02-01,-0.0669327583027633,,,
2016-02-02,-0.0714604839037201,,,
2016-02-03,-0.0713790726329194,,,
2016-02-04,-0.0797744859801227,,,
2016-02-05,-0.0824321433829064,,,
2016-02-06,-0.0817127642178539,,,
2016-02-07,-0.103928326395882,,,
2016-02-08,-0.102532063149494,,,
2016-02-09,-0.100579834662526,,,
2016-02-10,-0.0931928708156515,,,
2016-02-11,-0.114695051932321,,,
2016-02-12,-0.118488433666244,,,
2016-02-13,-0.111500844867141,,,
2016-02-14,-0.126025342559561,,,
2016-02-15,-0.124955800553679,,,
2016-02-16,-0.111062025544859,,,
2016-02-17,-0.0961577091338976,,,
2016-02-18,-0.0939555000785498,,,
2016-02-19,-0.0940020247758942,,,
2016-02-20,-0.0947669811972637,,,
2016-02-21,-0.0947476619202284,,,
2016-02-22,-0.0991702477225621,,,
2016-02-23,-0.0988461002230512,,,
2016-02-24,-0.104114491508035,,,
2016-02-25,-0.0988213526005119,,,
2016-02-26,-0.103278262488918,,,
2016-02-27,-0.106319226850083,,,
2016-02-28,-0.105959147371853,,,
2016-02-29,-0.102680780423516,,,
2016-03-01,-0.107200737274055,,,
2016-03-02,-0.112969863059731,,,
2016-03-03,-0.113453766741788,,,
