Time,Pearson: BTC-ETH / PriceUSD,,,
2016-03-03,-0.1351701825264,,,
2016-03-04,-0.136950347935363,,,
2016-03-05,-0.141077216224803,,,
2016-03-06,-0.143745607919414,,,
2016-03-07,-0.147884012288144,,,
2016-03-08,-0.147543057708619,,,
2016-03-09,-0.144290698512456,,,
2016-03-10,-0.148235758517392,,,
2016-03-11,-0.150180623099858,,,
2016-03-12,-0.159159179710228,,,
2016-03-13,-0.168083119022958,,,
2016-03-14,-0.171368103975901,,,
2016-03-15,-0.156105993417167,,,
2016-03-16,-0.128786838874571,,,
2016-03-17,-0.124937506906034,,,
2016-03-18,-0.117747261873636,,,
2016-03-19,-0.131905676935219,,,
2016-03-20,-0.190639698476046,,,
2016-03-21,-0.194682000843045,,,
2016-03-22,-0.233583842054566,,,
2016-03-23,-0.278444029894079,,,
2016-03-24,-0.277582972458881,,,
2016-03-25,-0.246967381195432,,,
2016-03-26,-0.251436350240733,,,
2016-03-27,-0.26149208610269,,,
2016-03-28,-0.265961219645021,,,
2016-03-29,-0.260069144510996,,,
2016-03-30,-0.26179313414386,,,
2016-03-31,-0.306990340206481,,,
2016-04-01,-0.302158128330246,,,
2016-04-02,-0.307746424997877,,,
2016-04-03,-0.308460566739619,,,
2016-04-04,-0.323380171990372,,,
2016-04-05,-0.332616832816397,,,
2016-04-06,-0.351963015936298,,,
2016-04-07,-0.349408960468209,,,
2016-04-08,-0.334139200033558,,,
2016-04-09,-0.354431658000855,,,
2016-04-10,-0.377971551864403,,,
2016-04-11,-0.397158032883585,,,
2016-04-12,-0.395443770052797,,,
2016-04-13,-0.392525049267056,,,
2016-04-14,-0.406053704596185,,,
2016-04-15,-0.418152219085772,,,
2016-04-16,-0.390490713967954,,,
2016-04-17,-0.373514874183256,,,
2016-04-18,-0.410331922494142,,,
2016-04-19,-0.413087731455071,,,
2016-04-20,-0.419263155033604,,,
2016-04-21,-0.424940413719818,,,
2016-04-22,-0.426457148105969,,,
2016-04-23,-0.458338621688123,,,
2016-04-24,-0.489239362826149,,,
2016-04-25,-0.490830931337045,,,
2016-04-26,-0.488944361561742,,,
2016-04-27,-0.459485362494133,,,
2016-04-28,-0.466975412025376,,,
2016-04-29,-0.456868758153899,,,
2016-04-30,-0.466342792556811,,,
2016-05-01,-0.438900142301108,,,
2016-05-02,-0.461390174730672,,,
2016-05-03,-0.458260425721805,,,
2016-05-04,-0.442299274144118,,,
2016-05-05,-0.451317929284805,,,
2016-05-06,-0.4237890913505,,,
2016-05-07,-0.421778976738793,,,
