Time,Pearson: BTC-DOGE / PriceUSD,,,
2014-03-24,0.439186956783214,,,
2014-03-25,0.490675565304776,,,
2014-03-26,0.488131392637169,,,
2014-03-27,0.522942059842276,,,
2014-03-28,0.507617036088825,,,
2014-03-29,0.485374046109849,,,
2014-03-30,0.49995822350313,,,
2014-03-31,0.498290096774296,,,
2014-04-01,0.509642622748182,,,
2014-04-02,0.554552211800269,,,
2014-04-03,0.555276982818263,,,
2014-04-04,0.557872669888509,,,
2014-04-05,0.566861215072275,,,
2014-04-06,0.588885384773233,,,
2014-04-07,0.590369627924614,,,
2014-04-08,0.578723465843582,,,
2014-04-09,0.5858401067344,,,
2014-04-10,0.636114676348447,,,
2014-04-11,0.697767920211332,,,
2014-04-12,0.735074981777052,,,
2014-04-13,0.737535810049279,,,
2014-04-14,0.745874617705838,,,
2014-04-15,0.769934159281624,,,
2014-04-16,0.752932219739209,,,
2014-04-17,0.755181571008307,,,
2014-04-18,0.758199130054412,,,
2014-04-19,0.760303097024073,,,
2014-04-20,0.760722314413288,,,
2014-04-21,0.760356278351495,,,
2014-04-22,0.77065854014685,,,
2014-04-23,0.770257178798133,,,
2014-04-24,0.778659070161653,,,
2014-04-25,0.779531461261101,,,
2014-04-26,0.779035395017037,,,
2014-04-27,0.768806972664006,,,
2014-04-28,0.766930735860857,,,
2014-04-29,0.763644298736445,,,
2014-04-30,0.763523092482903,,,
2014-05-01,0.764125891522058,,,
2014-05-02,0.794562562033248,,,
2014-05-03,0.793060067091845,,,
2014-05-04,0.79151996817174,,,
2014-05-05,0.792983742094168,,,
2014-05-06,0.790032982112072,,,
2014-05-07,0.790640863047949,,,
2014-05-08,0.79228665066602,,,
2014-05-09,0.796960461757674,,,
2014-05-10,0.796096033889372,,,
2014-05-11,0.824422130982949,,,
2014-05-12,0.831566578467753,,,
2014-05-13,0.83306085190249,,,
2014-05-14,0.836232373553787,,,
2014-05-15,0.83571455575877,,,
2014-05-16,0.837131326973612,,,
2014-05-17,0.837039818940308,,,
2014-05-18,0.837203612121077,,,
2014-05-19,0.835212892090712,,,
2014-05-20,0.833060872670053,,,
2014-05-21,0.831147224090233,,,
2014-05-22,0.795507137452109,,,
2014-05-23,0.805435437450309,,,
2014-05-24,0.803617455131127,,,
2014-05-25,0.78087982595403,,,
2014-05-26,0.745083165604652,,,
2014-05-27,0.731757324021722,,,
2014-05-28,0.773308119399096,,,
2014-05-29,0.765395729795054,,,
2014-05-30,0.728907483454536,,,
2014-05-31,0.719208059865471,,,
2014-06-01,0.673069230387869,,,
2014-06-02,0.665436495201198,,,
2014-06-03,0.665851382964971,,,
2014-06-04,0.671546395321224,,,
2014-06-05,0.668592545219721,,,
2014-06-06,0.664230584077424,,,
2014-06-07,0.664353293089468,,,
2014-06-08,0.664810087716433,,,
2014-06-09,0.608723642783415,,,
2014-06-10,0.497978263859128,,,
2014-06-11,0.470780076115389,,,
2014-06-12,0.494156636699192,,,
2014-06-13,0.453110524579767,,,
2014-06-14,0.288953330124968,,,
2014-06-15,0.285047081464154,,,
2014-06-16,0.259174036190491,,,
2014-06-17,0.241946771869618,,,
2014-06-18,0.221772771529048,,,
2014-06-19,0.220881933525956,,,
2014-06-20,0.220471233725361,,,
2014-06-21,0.214918076866459,,,
2014-06-22,0.209730772349751,,,
2014-06-23,0.209266088107001,,,
2014-06-24,0.140664579571519,,,
2014-06-25,0.164542302669987,,,
2014-06-26,0.170461181856236,,,
2014-06-27,0.17715065947737,,,
2014-06-28,0.182401038677258,,,
2014-06-29,0.178988617062164,,,
2014-06-30,0.2027316813403,,,
2014-07-01,0.199723571548857,,,
2014-07-02,0.195752131760865,,,
2014-07-03,0.19059268599678,,,
2014-07-04,0.164696406534351,,,
2014-07-05,0.169961983901389,,,
2014-07-06,0.16021355735819,,,
2014-07-07,0.171652067437806,,,
2014-07-08,0.144907214959264,,,
2014-07-09,0.14183581676022,,,
2014-07-10,0.130166798494736,,,
2014-07-11,0.13236100853321,,,
2014-07-12,0.130829224122042,,,
2014-07-13,0.12946234314211,,,
2014-07-14,0.14021196232219,,,
2014-07-15,0.139735528238505,,,
2014-07-16,0.147265428881979,,,
2014-07-17,0.150902527626494,,,
2014-07-18,0.147405071170905,,,
2014-07-19,0.0822733873854104,,,
2014-07-20,0.0891829919730411,,,
2014-07-21,0.140038695056341,,,
2014-07-22,0.140181248015328,,,
2014-07-23,0.137110010621013,,,
2014-07-24,0.16722617137202,,,
2014-07-25,0.19673744544429,,,
2014-07-26,0.209335505865411,,,
2014-07-27,0.207584994054964,,,
2014-07-28,0.205533958672575,,,
2014-07-29,0.276279108760484,,,
2014-07-30,0.306929009651782,,,
2014-07-31,0.344040932459619,,,
2014-08-01,0.376961634044628,,,
2014-08-02,0.379831216554353,,,
2014-08-03,0.3562578298579,,,
2014-08-04,0.368563892410921,,,
2014-08-05,0.382165189150453,,,
2014-08-06,0.37959065075019,,,
2014-08-07,0.375661075684185,,,
2014-08-08,0.371028721912864,,,
2014-08-09,0.371711416605362,,,
2014-08-10,0.431053601038201,,,
2014-08-11,0.392183589651906,,,
2014-08-12,0.342204519910604,,,
2014-08-13,0.379047834431451,,,
2014-08-14,0.396358521021872,,,
2014-08-15,0.397327498451885,,,
2014-08-16,0.405296734675864,,,
2014-08-17,0.406972139929524,,,
2014-08-18,0.450522229496052,,,
2014-08-19,0.471218747086833,,,
2014-08-20,0.523958858553054,,,
2014-08-21,0.533737152940492,,,
2014-08-22,0.50210617880154,,,
2014-08-23,0.422258151686634,,,
